drugName	condition	review	rating	date	usefulCount
Abilify (Intramuscular)	Bipolar Disorder	First I’m going to say that I’ve never took medication in my life. I am currently 20 years old. I took a Abilify tablet for bipolar disorder. I was told to take it at night so I did. I woke up in the morning and my chest was in so much pain. My boyfriends mother checked my heartbeat with a stethoscope and my heart was fluttering after every 10 beats or so. I went to the ER, they said nothing was wrong. lol? days later it started to feel like my heartbeat would pause then start back up. The pain is currently on the left side of my chest above my breast and shoulder blade. I really don’t know what to do..? I’m too afraid to go to the doctors.	1	February 10, 2021	2
Abilify (Intramuscular)	Major Depressive Disorder	I was on Abilify 2mg 12/18-02/19, along with 20mg of Lexapro. First 10 days, I felt euphoric, energetic, motivated, excited about life.  Well, it came to a screeching halt. I was fidgety, pacing back & forth, would sit & wiggle my feet & legs, was gaining weight, wasn't sleeping & thought I was going crazy. I continued to take it for another 6 weeks to give it a chance. That was a mistake. It was all I could do to make it through a whole workday. I thought I was going out of my mind. I have been off it for 2 years & still have mild side effects, still fidgety, have restless feet & legs, & don't sleep much. As for depression, I feel I was better off before Abilify than now. I appreciate that it has been a wonderful drug for many but where there are so many uncertainties of its effects, I would research it thoroughly before taking it. I don't think most doctors, including psychiatrists, have the slightest clue of how horrible this drug is for most. I would never recommend it to anyone.	1	February 9, 2021	10
Abilify (Intramuscular)	Major Depressive Disorder	Was prescribed Abilify to help 'boost' my antidepressants. Have been on it for almost two years. Caused me to gain 50 pounds in 3 months and even with exercise and dieting have been unable to lose the weight. Also causes very vivid dreams and at higher doses causes feelings of anxiety and paranoia. I strongly suggest you take a genetic test to make sure this medication will work for you before you take this drug	2	February 9, 2021	5
Abilify (Intramuscular)	Bipolar Disorder	I have always been against taking medication,  although I have epilepsy and have to. I was very weary of starting this one,  or any other mood stabilizer. Now that I have been taking it for two weeks, I'm so glad I did. It was like walking out of a dark room and back into the light of day. I use to just go about my daily activities with dread. Now I am excited to be a part of society again. I have gotten back in contact with old friends don't experience hardly any social anxiety and have so much energy. Thank you abilify	8	February 6, 2021	8
Abilify (Intramuscular)	Depression	For me Abilify was a godsend. Sometimes I get a bit hypomanic, but that still beats the soul-crushing depression snd anxiety.	8	February 5, 2021	9
Abilify (Intramuscular)	Agitated State	The side effects are bad at first - do not take Abilify at night! My feet were erratic starting out and I had a hard time sleeping because I took it at night. Another side effect: Weight gain does occur! But, this is not because the pill has calories (one review said) or because it gives you munchies (another review said). It simply changes the way your body stores leptin and processes food. Adding in slight exercise, or reducing your calories with healthier foods might help - or if you are lucky, it might not affect you at all. I did not notice the weight gain effects on the 5 mg, but I did on the 10 mg. I have gained three pounds in one week. Personally, the weight is not something I can handle, so I will be going back to 5 mg because that worked just fine for me.   It might take some experimenting but try it first (always start with a low dose).	7	February 5, 2021	5
Abilify (Intramuscular)	Bipolar Disorder	Is this trash or is this trash? This made me so sleepy and tired! It made me hungry all the time! A useless medication for me! I got off of it! I am much better off without it. Other than it making me sleepy and hungry I had no other side effects. It did nothing for my bipolar disorder!	1	February 2, 2021	2
Abilify (Intramuscular)	Schizoaffective Disorder	My doctor misdiagnosed me with schizo-affective disorder even with an ADHD diagnosis as a child, but I figured I'd try it anyway because hey, maybe they got it wrong back then. So I took Abilify and by the end of week three, I damn near went psychotic and was suicidal because of it. This is the single worst drug I've ever had the displeasure of taking. I'm not saying it doesn't work but if you get misdiagnosed, which happens often enough, you're going to have a very bad time.	1	February 1, 2021	1
Abilify (Intramuscular)	Bipolar Disorder	Taking Abilify as a replacement of Olanzapine, not a miracle drug, but helps mitigating paranoia and hypomania	8	January 30, 2021	3
Abilify (Intramuscular)	Major Depressive Disorder	I was prescribed Ambilify for MDD, it was added to my Citalopram.  I noticed a positive difference within 4 days.  After a few weeks on it I felt even better, had energy & motivation for the first time in years.  I slept better and was ready to get out of bed in the the morning.  However, within 3 months of taking this I gained almost 20lbs.  I had a bit of a weight problem before this so I was of course really freaked out.  My doctor told me it wasn't the Ambilify, it was my eating habits, I knew different but I loved how I felt so I kept taking it. Fast forward 6 months, I've gained 38lbs, I hate the way I look so much I won't leave my house and my depression returned.  I stopped taking it slowly, I've lost my energy and physical things are twice as hard because of my weight.    I'm seriously disappointed to have to stop taking something that helped me so much because of the extreme weight gain.	7	January 30, 2021	5
Abilify (Intramuscular)	Bipolar Disorder	Been diagnosed 18 years ago with Bipolar ...OCD. panic an anxiety disorder.  I've been on antidepressants since then then a few months ago it got worse 15 panicked attacks every single night an I walked floors all night long. Every night still sleep sitting up all night. I dose off an on, all night. I've suffered all my life feeling different since I was old enough to remember  say 5 yrs old and I'm 49 now. I would like share my experience  to help someone else, since I've  always been paranoid and avoid people. I always felt shy an awkward and I guess since my new blue pill Abilify I feel so much better. After taking my first pill my racing thoughts disappeared and my moods got better and I finally feel normal.  Everything seems so enjoyable now it saved my mental well being ...	10	January 28, 2021	20
Abilify (Intramuscular)	Depression	I've been taking this along with Clonidine for a month and they increased Abilify to 5mg. Once this happened, after a bit I've started to get insomnia, restlessness/anxiousness, nausea, appetite change (not hungry). I chose to go off it myself since my psych insisted I stay on, but I couldn't keep torturing myself like this. Hopefully my body returns to normal, when I could sleep and eat without worries.	2	January 26, 2021	4
Abilify (Intramuscular)	Schizophrenia	Got rid of the hallucinations and auditory voices, mostly... Paranoia still pretty bad	5	January 26, 2021	7
Abilify (Intramuscular)	Agitated State	"My son was prescribed Abilify for ""aggressive"" behavior at age 6. It didn't really change his behavior. Within a year he began showing symptoms of ADHD, despite no signs before starting the med. Is the restlessness really ADHD, or is it akathisia caused by the med? He also became compulsive on Abilify, which I learned only recently is a known side-effect of the medication. His BMI is now borderline obese, and his metabolic labs are all elevated. I'm now tapering him off of it after more than 3 years. I've noticed a reduction in his compulsive and thrill seeking behavior, though he still can't sit still for the life of him. Hopefully those withdrawl side-effects will subside with time. If a doctor recommends your child take a mood-stabilizer, remember that a calm parent is the best mood-stabilizer for a child. This stuff isn't FDA approved for use in children for a reason. I'm not anti-medication and I'm sure this med works for some people, but this med did not work for him."	1	January 25, 2021	4
Abilify (Intramuscular)	Schizoaffective Disorder	Was prescribed this from my Pdoc. Took my scheduled doses for two days and next thing I was in the hospital. Extreme heart rate and blood pressure through the roof. Made me extremely manic and irritable. It's been six years since I have taken it and still have some effects. Thought process has changed dramatically since the episode and lost the ability to think and problem solve. I have lost most short term memory as well as some longterm. My once creative side before taking (musically, art) is now completely gone. Many tests later doctors still cannot find what the problem is, no evidence of brain damage but they do believe something was altered in my brain. Happy for anyone that can take this medication without side effect but if you get prescribed ask about these side effects. This has impacted my life drastically and since then I cannot take any medications. I'll get extremely agitated taking pills and anxiety through the roof.	1	January 25, 2021	4
Abilify (Intramuscular)	Depression	Abilify definitely helped with anxiety and depression during the 5+ years I took it, but I gained nearly 100 lbs during that time. When I discontinued use, my weight immediately stabilized and has started slowly decreasing. Anxiety and depression have unfortunately also started creeping back in.	3	January 17, 2021	8
Abilify (Intramuscular)	Agitated State	I was put on this many years ago for a nervous breakdown and it started to help almost instantly. It was a good add on to my anti depressants at the time. I was literally only on it two weeks and doc decided I didn't need it anymore. It worked a lot better than any other things I've been on over the years. No side effects	8	January 15, 2021	8
Abilify (Intramuscular)	Bipolar Disorder	Took one dose & felt more agitated. It also has given me bad diarrhea. Feels like I’m prepping for a colonoscopy. My brain felt foggy, I was dizzy and sluggish during the day. NO THANK YOU!	1	January 14, 2021	3
Abilify (Intramuscular)	Bipolar Disorder	Absolutely amazing has changed my life I absolutely love this medication.  It helped with my anxiety, depression, has helped with all around social anxiety, very highly recommended. I got to put down three other medications just to take this one pill a day awesome.	10	January 5, 2021	21
Abilify (Intramuscular)	Autism	My son was prescribed Abilify years ago on a low dosage and it seemed to help him a lot. He had some weight gain but not much. As he got older and bigger he started having issues again and he was taken off Abilify and put on Risperidone. It was a complete disaster and things got bad really, really fast. Eventually he was put back on Abilify at a higher dosage and taken off Risperidone and things are much better. I recommend Abilify over Risperidone any day for autism.		December 31, 2020	16
Abilify (Intramuscular)	Bipolar Disorder	I took abilify for about two months after zyprexa was making me incredibly sleepy and hungry all the time. After a few weeks I became unbearably anxious and restless in a way I'd never experienced before and have never experienced since. Switched to geodon because I couldn't tolerate the extreme anxiety anymore and Geodon dose the trick. Didn't become manic so I guess it worked tho.	3	December 30, 2020	1
Abilify (Intramuscular)	Bipolar Disorder	I took trileptal by itself for a long time. That helped at first but I never quite felt normal. I then hit a stressful point in my life and began having A LOT of mania and depression. I started neglecting my meds, feeling hopeless. My Dr. then suggested I take abilify 5 mg in addition to the trileptal. After seeing reviews about weight gain, increased mania, etc. I was wary about trying it but I decided to. I have not gained any weight from the med (I am 5’4 115lbs young female). The first few days I was switching rapidly between manic and depressed and had a lot of insomnia. However after about 3-4 days I noticed for the first time in 5 years I feel like myself again. I haven’t been this levelled and happy in so long. I rarely have depressive or manic episodes which is something I thought was impossible. Definitely give this a try and don’t be discouraged by the first few days. It’s so worth it.	10	December 29, 2020	17
Abilify (Intramuscular)	Schizophrenia	After one yea on low dose developed Type 2 Diabetes, 5 weeks ago.	8	December 28, 2020	5
Abilify (Intramuscular)	Schizoaffective Disorder	Terrible drug. Caused me to have seizures within two months of taking it. Discontinued it immediately.	1	December 28, 2020	2
Abilify (Intramuscular)	Bipolar Disorder	I used to take Abilify for management of bipolar disorder, this medication was personally horrible in my treatment. It made my mood swings worse and I became very aggressive. I began to isolate myself . Thank goodness I am off of this medication.  My husband had a similar reaction to it almost instantly.	1	December 16, 2020	6
Abilify (Intramuscular)	Major Depressive Disorder	Abilify was THE game changer for me.   I've struggled with major Depression since childhood, and had taken pretty much every other drug out there (for 20+ years) before this was prescribed in a very low dose to augment another med I'd already been taking.   I felt NORMAL for the first time in my life.  No, didn't make me ecstatically happy--it made me feel that life was worth living for.    Unfortunately, it didn't help with my anxiety, so I eventually switched to another med in order to take only 1 med, not 3.  It was expensive but so worth it.  No side effects whatsoever (2 mg dose)	10	December 14, 2020	20
Abilify (Intramuscular)	Bipolar Disorder	This was one of the worst medications I’ve ever tried. I have bipolar 2 with rapid cycling and this medication literally made me out of it. I could barely gather thoughts. I felt dumb as a rock and couldn’t focus. I also felt so agitated that it took all my energy to survive the day. It made me hungry but did nothing for depression or hypomania. My eyeballs felt like they were rolling around and I could have just stared at a white wall. Stopping it was like a dream. I took it for a few months. Worst med ever. Totally net negative. Beware if you have my combo of bipolar.	1	December 12, 2020	12
Abilify (Intramuscular)	Schizoaffective Disorder	The side affects are not worth the risk of even trying this medication.	1	December 10, 2020	2
Abilify (Intramuscular)	Schizophrenia	I have taken Abilify for 10 years for schizophrenia.  It has been a wonder drug in some aspects because it keeps my schizophrenia at bay.  Before I started taking it I was losing my mind, thought “people” were after me, heard thoughts and saw visions.  Basically I was not functional and couldn’t hold a job.  All of this has gone away over the years and now I am a functioning adult.  It regulates my sleep and moods, too.    The side effects are minimal but noticeable.  I developed type 2 diabetes even though I maintain a regular exercise schedule and eat right.  Also, I have no sex drive and it kind of screws up your all of your sexual functions.    Also, beware of these medications and take them only if you have to have them.  I developed something called tardive akathisia when I tried to stop taking Abilify.  It is an absolutely horrible side effect caused by your brain trying to return to the way it originally worked and it is truly awful. Look it up!	8	December 1, 2020	12
Abilify (Intramuscular)	Agitated State	I was recently  prescribed  abilify (the generic) during  COVID. I have PTSD BPD and depression  so with  everything  going  on it has made me insane.  I had rage outbursts and would  want to hit people, not to mention the stress and lockdown.  Everytime  I left the house  there's signs and masks everywhere- anyways I needed a change.  I tried Abilify I'm on 5mg now, I found  it actually  increased my appetite,  I gained at least  10 lbs which  I'm not fond of, but I've been  eating  again.  I find it has worked great  as far as a mood stabilizer I've only had 1 panic attack since being on it. The first few weeks  I was really  agitated and paranoid  though. If I don't take it at the exact time everyday I feel  sick.  Overall it does help with my mood and rage so I'll stay on it. I don't like the always  having  to move,  its nice  at work  but not if I ever want to relax	7	December 1, 2020	10
Abilify (Intramuscular)	Bipolar Disorder	I suffer some depression, some OCD traits and may be mildly Bipolar. I take Zoloft which hugely helped my mood swings. Lately my mind has been at great unrest......consumed by worry....unable to focus. Fatigue set in and I was tired all the time....even after a good nights sleep. My Dr put me on Abilify 2mg once daily. I thought to myself.....How will such a tiny little pill help? Well I am so IMPRESSED!!!!! The brain fog and worry is gone. I wake up early every morning with energy that lasts all day long! I would totally recommend Abilify!	10	November 28, 2020	17
Abilify (Intramuscular)	Schizophrenia	I was abilify for Constantly thinking disorder, it made me gain a lot of weight I have a lot of thoughts medicine did nothing to stop them. Feel like it just created more anxiety and akathesia.	1	November 28, 2020	4
Abilify (Intramuscular)	Schizoaffective Disorder	I’ve been taking Abilify for years, I had to restart it about a month ago after being off of it for about four months. I started getting a really terrible appetite where I just wanted to keep on eating, I think I’ve gained a bit of weight while on it. I have WAY too much energy and have found I’ve become a bit impulsive. Although, any hallucinations I used to have, have lessened quite a bit so that’s a plus! I feel like the longer you’re on it, the less bad side effects you feel. If you’re feeling too energized and like the constantly need to move, it may be a thing called Akathisia; a need to always be doing something or a mental unrest. Any anger I used to have, has lessened or is gone pretty much. I do feel pretty spaced out a lot and very forgetful thought and not myself but at least the psychotic symptoms I had have lessened.	8	November 27, 2020	7
Abilify (Intramuscular)	Depression	"I was put on Abilify and it made me feel very strange. I went off it after a few days and was very glad I did. My daughter, who also suffers from depression was put on it and she went from weighing 120 pounds (at 5'6"") and gained over 100 pounds in 8-9 months. During that time she voluntarily went into the hospital for suicide ideation. I could hardly recognize her personality and was appalled to see her so morbidly obese when I saw her for the first time when I visited her to pick her up from the hospital once she was released. She looked like a zombie - pale, dark shadows under her eyes - and she was only 26 years old at the time. She went off it and it took her a long time getting her weight down at a stable 150 pounds. Her poor body went through a really hard time, not to mention the bad effect it had on her mind. AWFUL!!"	1	November 17, 2020	29
Abilify (Intramuscular)	Schizophrenia	My son is diagnose with schizophrenia in middle school his first medication was Risperdol which worked for a small amount of time however I think he outgrew it or the dosage weaken against the imbalance it took some dramatic changes before they changed his medications however when given abilify which is what he is currently taking I see vast and major improvement it took on a slow gradual change at first however now it is very noticeable that this abilfy is having a positive effect thus far on my son abilify  to think with calm mind and little to no agitation at all. IF this medication proves to be effective for a long period I would assume he may on down the road only need to adjust the dosage not now however. I would give it from my personal experience as a mother with a son who currently taking  a definite 8 out of 10 thus far.	8	October 21, 2020	20
Abilify (Intramuscular)	Schizophrenia	I have been on Abilify for 5 days and I can already tell the difference. I feel much more awake, together and peaceful. Plus my concentration is better.	9	October 15, 2020	30
Abilify (Intramuscular)	Bipolar Disorder	I’ve been on Abilify for 5 years and it has saved my life. Only downside is I’ve gained a bunch of weight but eating healthy and exercise helps.	8	October 5, 2020	27
Abilify (Intramuscular)	Major Depressive Disorder	Was on Abilify for 5 years and did not know that was too long, now I have severe Tardive Dyskinesia would never have taken it. I must have been told of the side effects then and did not remember	4	October 3, 2020	26
Abilify (Intramuscular)	Schizoaffective Disorder	It started off great on Abilify.  I had so much energy and it helped me get up early with more energy.  However once I got to 5mg it turned into a nightmare.  Extreme anxiety around people and I would feel like crying for almost no reason.  I do not like it and am thankful my doctor let me stop taking it	1	October 3, 2020	11
Abilify (Intramuscular)	Schizophrenia	I am currently on Prozac 20 mg for panic disorder and depression and Abilify 10mg for schizophrenia and trazodone 50 mg to sleep and all I can say is wow! This combination has literally saved my life.  I wish I would have gotten on Abilify years ago for schizophrenia, it has totally changed my life.  If you have schizophrenia I’d say definitely give it a try! It has drastically improved my quality of life!	10	October 2, 2020	27
Abilify (Intramuscular)	Autism	My daughter (13) was put on Abilify when she was 7 for aggression and severe behaviours. At first it seemed to help but after awhile she was just back to her usual severe behaviours. She use to be a tiny girl but she became over weight very quickly with this med. We had to put locks on the fridge and cupboards but then she literally ripped the doors off to get to the food!! Over the years we tried to wean her off several times but the side effects of weaning were terrible so every time we would put her back on. This time we have been weaning her off very very slowly over several months now, weaning down 2.5 mgs a month and it’s been much easier on her system. We have noticed a dramatic change in her seizures and she hasn’t had one in months now. We haven’t seen any changes in her behaviours, she isn't any worse, the same today on 2.5 mgs as she was when she was on 20mgs. So we really don’t think it was doing anything for her.	1	October 2, 2020	20
Abilify (Intramuscular)	Major Depressive Disorder	My doctor prescribed me 5mg of Abilify to add onto a depression medication when I was going through a hard time. Maybe I had personal side effects, but it was a nightmare. I constantly felt restless- my legs would not stop moving and it was extremely difficult for me to sit at work for long periods of time. I also constantly would wake up with migraines and dry mouth.  While it helped with my depression a little bit, it definitely increased my anxiety and ruined my sex drive.  Abilify also caused me to have an insatiable appetite. I was always hungry and never felt full. Within 4 months of taking Abilify, I gained 20lbs. After going off the medication, 6 months later my appetite is noticeably different and I dropped 12lbs.   Since being off the medication, I feel more like myself and that my personality is returned. Honestly, I can't recommend this unless you have no other options.	2	September 22, 2020	25
Abilify (Intramuscular)	Major Depressive Disorder	I have been on Abilify (2.5 mg daily) for 3 weeks now for MDD. I also take Effexor XR, and have for several months now. After one week on the Abilify I began to have a dramatic change in my motivation. I keep myself busy now, where as before I struggled to do simple tasks.  I do struggle with sleeping now. I used to be able to go to sleep anytime I wanted to with no trouble. Now I cannot sleep. I wake up by midnight, and spend the rest of the night doing things like painting, or online shopping!! I cannot sleep. I hope this side effect is temporary. I started taking 3 mg of melatonin before bed, but that only helps a little bit. The other side effect during night is night sweats. It is only after I fall asleep that the sweating occurs. When I wake up I am soaked in my sweat, not too different than when a fever breaks.  As much as I want my ability to sleep back, I will continue to take the abilify because it is changing my life for the better. I no longer sleep all day, or lack motivation.	9	September 22, 2020	29
Abilify (Intramuscular)	Major Depressive Disorder	I've been on abilify  for 2 years and its caused me severe  eye problems  elevated  my depression	1	September 12, 2020	7
Abilify (Intramuscular)	Agitated State	Honestly I feel horrible, even after 24 hrs of taking Abilify, I am a MESS, I can’t keep anything down, I feel sick. I feel like I should just run around to get rid of this horrible feeling. My ears are ringing. I can’t get rid of this weird muffled head feeling it’s a nasty drug. I just cannot relax. I’m more panicky and agitated than usual	1	September 8, 2020	22
Abilify (Intramuscular)	Schizophrenia	I couldn't sleep on Abilify and the anxiety was horrible. I wasn't able to go to work as I was terribly afraid of all the people. I developed a fear of acting out on this drug. It's been more than 6 months now that I've stopped this drug and the fear stills very present but a bit reduced. I can go to work again but I still very much afraid of social interactions.	1	September 2, 2020	18
Abilify (Intramuscular)	Autism	15 year old son was prescribed Abilify for anxiety and aggression that started recently. It stopped the aggression and regulated his sleep cycle nicely. However, after 5 months, he started having crying episodes and seemed depressed mixed with mood swings.  Side effects included drooling and feeling like he had to pee but couldn't. It amplified fixated/recurring thoughts to the point of serious debilitation. Doctor advised to try reducing dose. Found Ativan worked better when there was any potential flareup and have used that on an as-needed basis. Reducing dose and hoping to find better solution.	6	September 2, 2020	14
Abilify (Intramuscular)	Depression	I was on this Abilify for a month or so for depression to enhance my anti depressant and I had the worst experience. It made me have the most awful night terrors/nightmares and I starting hallucinating, seeing little tiny people run around my room and I thought they were going to hurt me if I went to sleep. I still don't understand why I was given this as a minor	1	August 30, 2020	32
Abilify (Intramuscular)	Depression	If you want to get fat take Abilify.	1	August 29, 2020	47
Abilify (Intramuscular)	Bipolar Disorder	I've been struggling with bipolar II my whole life and have been hospitalized twice. This last time they put me on abilify in addition to my lamictal and lexapro along with trazadone for sleep. First, the side effects. They were pretty bad in the beginning super restless, high anxiety, couldn't concentrate on anything unless it involved my hands. I did a lot of adult coloring and rearranged my house a few times. I was treated with ativan for about 2 weeks, a double dose of trazadone at night, and self treated with THC. The side effects are starting to wear off and it's like I can see the world in color! My husband says I'm acting like when we first met and the sparkle is back in my eyes. If you have side effects, work with your doctor. I am so glad I did and stayed on this med. It's been a month and totally life changing.	8	August 24, 2020	66
Abilify (Intramuscular)	Depression	Abilify works great for me, I couldn't even get over a bridge without freaking out, not any more. I have Epilepsy, so I can tolerate a lot of anti psychotics, but this one really works.	9	August 21, 2020	35
Abilify (Intramuscular)	Depression	This drug Abilify made me gain 60 lbs over 3.5 years. It did nothing for me. Be aware. It will make you want to eat!!! This did absolutely nothing for me. Finally came off of it and feeling better then when I was on it.		August 19, 2020	39
Abilify (Intramuscular)	Bipolar Disorder	helped me with the bipolar disorder	10	August 19, 2020	19
Abilify (Intramuscular)	Agitated State	"Im going to keep it short & sweet. Before Abilify it was a lot of swearing and slammed doors, and irritation towards everyone. Abilify 5mg was prescribed about 2 months ago. Life now is more of a ""what was I mad about""? Great mood stabilizer. This medication has lifted me in so many ways.  Background: Bipolar, depression & anxiety..."	9	August 15, 2020	73
Abilify (Intramuscular)	Schizophrenia	This Abilify was my first antipsychotic I was put on. It wasted a year of my life. I had to abuse stimulants (which made my symptoms worse) to function. My hallucinations were semi controlled but I still heavily struggled with delusions. I thought it was the best I could get but no. After trying many more I found an antipsychotic that doesn't make me a robot. If this one makes you feel terrible, ask your doctor talk about your options. Don't settle for any less than you deserve! Life is livable with Schizophrenia but you have to have the right tools.	1	August 9, 2020	24
Abilify (Intramuscular)	Agitated State	My 9 year old son started Abilify a week ago. Prior to, he was diagnosed with Intermittent Explosive Disorder and possibly ADHD. He has struggled with intense burst of extreme anger. He would yell, scream, throw things, hit himself, slam doors etc. He would be angry very quickly over small things. He was very impulsive, and had many troubles at school focusing. We tried 2 different ADHD meds with no luck. They actually made things worse. His behaviour changed the moment he started Abilify, at a low dose of 2mg a day. We expected weeks until seeing results. My child is a completely different person. He is calm, polite, and so pleasant. He has voiced his own opinion on feeling this med is working. He can feel the difference within himself. He displays no side effects. He still feels and shows emotions, just in a calm manner. We have struggled heartbreakingly for a long time in finding him help, with nothing that has actually worked. This has absolutely changed his life.	9	August 6, 2020	59
Abilify (Intramuscular)	Major Depressive Disorder	I've been on abilify for about a month along side my Pristiq.  Within a week my anger started to lessen and I was able to start to function again, even wanting to socialise and shower again.  I am still showing   improvements as the weeks progress.  I do however , get manageable restless legs on 10mg.  Its much more manageable than my anger was and if I'm moving or engaged with something I don't notice it. Prazosin at night counteracts the restless legs which I was on prior to abilify for PTSD nightmares. Live changer for me..	10	July 2, 2020	36
Abilify (Intramuscular)	Major Depressive Disorder	Have never ever left a review on anything before but this drug Abilify has helped me so much so far. Was out of work, struggling to meet my basic functions necessary to live. I am now feeling like I can actually do things. I also suffer from anxiety and this has helped me so much with social anxiety/ physical symptoms from anxiety. Have been looking for a drug that will work for the past 5 years as I am treatment resistant. Give this a try people please!!	9	June 17, 2020	63
Abilify (Intramuscular)	Autism	I've had horrible shaking all over my body, even on the smallest dose (2.5mg), to the point where I couldn't walk and was escorted in a wheelchair in my room. This medication was given to me for no apparent reason, like everyone else in the ward (autistic and non autistic). I was the only one not handling it.	1	June 14, 2020	13
Abilify (Intramuscular)	Bipolar Disorder	I just started this Abilify at a 5mg dose and am going up to 10 mg today. Side effects were - nausea briefly -  restlessness that might keep waking you up at night. Both of these went away. I was told by my psych that I might feel shaky but that should pass. Positives so far are less rumination and constant thinking. Less daydreaming. It doesn’t affect my actual ability to think. I haven’t gone manic on this yet. My temperament seems to be even and my energy level is good. I'll check back in in a month with the 10mg review. Thanks all.	8	June 9, 2020	71
Abilify (Intramuscular)	Major Depressive Disorder	I have very ruminative, treatment-resistant major depressive disorder (MDD) for which I've been hospitalized twice despite medication therapy and counseling.  I have trialed at least twelve different antidepressants over the last twenty years, with modest results at best.  During my second hospitalization, the attending psychiatrist presented a choice: lithium or aripiprazole (or neither, that was technically a choice, too).  I asked him what he thought and his recommendation was aripiprazole, so we went with that.  We started at 2.5 mg, then quickly moved to 5 mg.  Within days I was no longer having mood crashes, my ruminations had diminished, and my mood had started to recover.  I've stayed out of hospital ever since.  I currently take 10 mg daily and experience no side effects.  I still have my ups and downs (as is life) but my 'down' phases are shorter and much less severe.  This med has been a lifesaver for me.	9	June 6, 2020	70
Abilify (Intramuscular)	Schizoaffective Disorder	Abilify is the only antipyshcotic I've tried that works. I take the injection 300 mg every 28 days.	10	June 1, 2020	19
Abilify (Intramuscular)	Major Depressive Disorder	I was on Abilify for 2 weeks and developed Tardive Dyskinisea quickly. It started with hip thrusting and then mouth smacking, eyes blinking. I couldn’t handle it. I was on a fairly low dose once a day. I also take a small dose of Reglan daily for gastroparesis and I went off of that and quit eating (can’t eat without it) to see if the TD would stop and it didn’t. So I am quitting the Abilify. I did have one positive experience though with Abilify and that’s that it brought me out of my extreme depression to where I was able to get up and shower and do normal things again. My depression had gotten so bad that I couldn’t even shower. So would I recommend this drug? Give it a try but make sure if you show any signs of TD to talk to your doctor ASAP!	3	May 31, 2020	34
Abilify (Intramuscular)	Bipolar Disorder	I took this medication for about two months I'd say. The highest I ever went to was 5mg. While it did work on the depression, it made the mania a lot worse to the point where I went psychotic and ended up in the hospital. The biggest issue I had was that the doctor was very intent on keeping me on this drug despite the fact it was not working.	1	May 28, 2020	23
Abilify (Intramuscular)	Schizophrenia	I took this drug a few years ago and felt like rubbish! My anxiety came back, I lost confidence and my eyes were rolling up. I hated this drug! But now I know every drug works differently with people so this may be good for someone else but for me it was rubbish as!	1	May 28, 2020	14
Abilify (Intramuscular)	Depression	This is my first day taking Abilify 5 mg.  I am at work and I feel HORRIBLE.  I'm thinking about going home. I am dizzy, sweating, and just feel out of it. I took it 2 1/2 hours ago and wish I had the ability to make myself barf to get it out of me, but it was such a small tab it has probably dissolved. I hate my dr. for putting me on this. I feel like a zombie. Actually found myself staring at my computer with my mouth open. Awful, horrible rx.	1	May 22, 2020	61
Abilify (Intramuscular)		I took this medicine Abilify for two weeks. It gave me energy like never before. It was good energy. However, I was too hyper and the medicine caused me to have restlessness and caused my left leg hurt BADLY. I could only sleep for 3 hours a night.	6	May 20, 2020	13
Abilify (Intramuscular)	Schizophrenia	Abilify made me completely out of control. I acted in ways I never had before and where completely out of character for me. I was not in control of my emotions I cried hysterically all the time. I had to be put on something similar to Xanax because I guess my mouth moved uncontrollably. I developed a gambling problem and was out of control with a lot of different things all at one time. I couldn’t stop any of this behavior and it was tormenting. I wasn’t able to cope either. Horrible experience. Do not smoke marijuana with this I would advise against it it will use everything against you and become a problem and made me sicker.	1	May 14, 2020	16
Abilify (Intramuscular)	Schizoaffective Disorder	It appeared to help because taking it happened to occur at the same time as my symptoms getting much better.  Over the years, that was the story being told. No other medication before it did anything for me, so it seemed to be safe for me to stay on Abilify. I finally experimented with taking less after I realized I seemed different than other people. I was wondering why I could never remember things very well and was not very confident or comfortable. It has been a year tapering off from 15 mg daily and I am finally almost completely off.  I have improved tremendously and for the first time in 15 years feel like myself.   I did not realize how much this medication was making me dumb.  Life is too important to mess up. As always, listen and trust your own intuition first. If you start to feel negative affects for any reason, so much that you do not enjoy life as fully as you feel you should,  stop this med.	1	May 2, 2020	21
Abilify (Intramuscular)	Major Depressive Disorder	I’ve had major depressive disorder for years. The past 3 years I’ve had weeks where I wouldn’t move out of bed except to go the bathroom, get a bottle of water & that’s it. I was wasting away. My doctor said I was malnourished. I didn’t care about anything, anyone or myself. I’ve started seeing a psychiatrist & therapist for almost 2 years, but had yet to find the right meds. Then, about 3 months ago my psychiatrist put me on Abilify. I went from 5mg to 7.5 to now 10mg. I take it along with Remeron & Lamictal. I feel better than I have in years. So far, no side effects. This is like the sun I’ve been searching for for many years. Happy tears. Honestly it saved my marriage.	10	May 1, 2020	59
Abilify (Intramuscular)	Schizoaffective Disorder	I was on this for about two, almost three years before I stopped taking it. During that time I was more depressed than before more consistently. 0/10 do not recommend.	1	April 26, 2020	7
Abilify (Intramuscular)	Autism	My young adult autistic son has recently began taking Abilify at 2ml liquid per day and it is nothing short of a miracle. We have had years of aggression.. hitting biting and smashing our home. He is still the same autistic boy with his usual traits but the aggression is GONE. Tried respiridol previously which did nothing so don't give up... different meds work for different people. Has been taking this for 6 weeks so far.	10	April 24, 2020	47
